,cabin,cabinReduced,sex,cabin_map,cabinReduced_map,sex_map
677,,n,male,0,0,1
238,B3,B,female,133,5,0
700,,n,male,0,0,1
986,,n,male,0,0,1
1014,,n,female,0,0,0
709,,n,female,0,0,0
1285,,n,male,0,0,1
321,,n,male,0,0,1
120,D40,D,male,66,3,1
1161,,n,male,0,0,1
155,B69,B,female,88,5,0
1112,,n,female,0,0,0
624,,n,female,0,0,0
138,C91,C,male,78,1,1
125,B102,B,male,69,5,1
456,,n,female,0,0,0
66,B61,B,female,36,5,0
831,,n,male,0,0,1
881,,n,male,0,0,1
1153,,n,female,0,0,0
626,,n,female,0,0,0
605,F G63,F,male,178,7,1
1294,,n,male,0,0,1
1133,,n,male,0,0,1
178,D19,D,female,102,3,0
1081,,n,female,0,0,0
415,,n,female,0,0,0
100,A20,A,male,54,4,1
871,,n,male,0,0,1
1165,,n,male,0,0,1
741,,n,male,0,0,1
334,,n,male,0,0,1
114,C23 C25 C27,C,male,63,1,1
681,,n,female,0,0,0
220,B36,B,female,123,5,0
391,,n,male,0,0,1
1202,,n,male,0,0,1
309,C7,C,female,21,1,0
1154,,n,male,0,0,1
1222,,n,male,0,0,1
527,,n,male,0,0,1
927,,n,male,0,0,1
245,B77,B,female,37,5,0
685,,n,male,0,0,1
518,,n,male,0,0,1
1017,,n,male,0,0,1
861,,n,female,0,0,0
394,,n,male,0,0,1
640,,n,male,0,0,1
104,D20,D,female,58,3,0
1233,,n,male,0,0,1
1031,,n,male,0,0,1
979,,n,male,0,0,1
51,B51 B53 B55,B,male,31,5,1
602,,n,male,0,0,1
354,,n,male,0,0,1
1226,,n,male,0,0,1
460,,n,female,0,0,0
22,C148,C,male,14,1,1
374,,n,male,0,0,1
538,,n,male,0,0,1
218,C105,C,female,122,1,0
585,,n,male,0,0,1
944,,n,male,0,0,1
841,,n,female,0,0,0
879,,n,male,0,0,1
414,,n,male,0,0,1
205,E38,E,male,115,2,1
1061,,n,female,0,0,0
497,,n,male,0,0,1
516,F2,F,male,175,7,1
702,,n,female,0,0,0
676,,n,male,0,0,1
375,,n,male,0,0,1
185,,n,male,0,0,1
404,,n,male,0,0,1
706,,n,female,0,0,0
1277,,n,male,0,0,1
401,,n,female,0,0,0
856,,n,female,0,0,0
1063,,n,male,0,0,1
441,,n,female,0,0,0
132,B86,B,male,73,5,1
745,,n,female,0,0,0
173,C132,C,male,99,1,1
690,,n,male,0,0,1
825,,n,male,0,0,1
827,,n,male,0,0,1
428,,n,female,0,0,0
915,,n,male,0,0,1
1288,,n,male,0,0,1
1126,,n,female,0,0,0
718,,n,male,0,0,1
282,D20,D,female,58,3,0
96,C86,C,male,52,1,1
957,,n,female,0,0,0
635,,n,male,0,0,1
738,,n,female,0,0,0
499,,n,male,0,0,1
74,A14,A,male,40,4,1
89,B71,B,male,49,5,1
984,,n,female,0,0,0
691,,n,male,0,0,1
1113,,n,female,0,0,0
0,B5,B,female,6,5,0
558,,n,female,0,0,0
683,,n,male,0,0,1
392,,n,female,0,0,0
476,,n,male,0,0,1
1159,,n,female,0,0,0
519,,n,male,0,0,1
107,,n,female,0,0,0
347,,n,male,0,0,1
1101,,n,male,0,0,1
1029,,n,male,0,0,1
223,,n,male,0,0,1
1303,,n,male,0,0,1
327,,n,male,0,0,1
870,,n,female,0,0,0
102,C54,C,female,56,1,0
1086,,n,female,0,0,0
620,,n,male,0,0,1
475,,n,female,0,0,0
213,D36,D,female,119,3,0
707,,n,male,0,0,1
135,A5,A,male,75,4,1
852,,n,female,0,0,0
246,,n,male,0,0,1
1290,,n,female,0,0,0
1083,,n,male,0,0,1
1177,,n,male,0,0,1
1032,,n,male,0,0,1
1096,,n,male,0,0,1
1011,,n,female,0,0,0
989,,n,male,0,0,1
365,,n,female,0,0,0
248,,n,male,0,0,1
736,,n,male,0,0,1
26,B49,B,male,16,5,1
836,,n,male,0,0,1
284,B28,B,female,95,5,0
417,,n,male,0,0,1
913,,n,male,0,0,1
680,,n,male,0,0,1
904,,n,male,0,0,1
3,C22 C26,C,male,1,1,1
134,C92,C,female,74,1,0
837,,n,male,0,0,1
355,,n,female,0,0,0
292,C126,C,male,156,1,1
698,,n,male,0,0,1
1136,,n,female,0,0,0
1116,,n,male,0,0,1
1261,,n,female,0,0,0
906,,n,male,0,0,1
897,,n,male,0,0,1
1010,,n,male,0,0,1
228,C65,C,male,128,1,1
643,,n,female,0,0,0
225,B24,B,male,126,5,1
226,C2,C,male,127,1,1
842,,n,male,0,0,1
369,,n,female,0,0,0
1185,,n,male,0,0,1
844,,n,male,0,0,1
339,F4,F,male,170,7,1
419,,n,male,0,0,1
1123,,n,female,0,0,0
603,,n,female,0,0,0
1180,,n,female,0,0,0
265,A6,A,male,142,4,1
454,,n,male,0,0,1
63,E31,E,female,34,2,0
1127,,n,male,0,0,1
1049,,n,male,0,0,1
360,,n,male,0,0,1
237,,n,male,0,0,1
650,,n,female,0,0,0
112,C23 C25 C27,C,female,63,1,0
1238,,n,male,0,0,1
1088,,n,male,0,0,1
532,,n,male,0,0,1
577,,n,female,0,0,0
810,,n,male,0,0,1
126,C123,C,male,70,1,1
259,,n,male,0,0,1
1074,,n,male,0,0,1
148,C83,C,male,84,1,1
721,,n,male,0,0,1
1038,,n,male,0,0,1
376,,n,male,0,0,1
851,,n,female,0,0,0
896,,n,male,0,0,1
694,,n,male,0,0,1
137,B42,B,female,77,5,0
1057,,n,female,0,0,0
7,A36,A,male,4,4,1
502,,n,female,0,0,0
854,,n,male,0,0,1
631,,n,male,0,0,1
1120,,n,male,0,0,1
371,,n,female,0,0,0
929,,n,male,0,0,1
29,C52,C,male,18,1,1
411,,n,female,0,0,0
407,,n,female,0,0,0
1275,,n,male,0,0,1
357,,n,male,0,0,1
353,,n,female,0,0,0
788,,n,male,0,0,1
153,C54,C,female,56,1,0
566,,n,male,0,0,1
542,,n,female,0,0,0
343,D56,D,male,171,3,1
305,,n,male,0,0,1
612,,n,female,0,0,0
4,C22 C26,C,female,1,1,0
280,C116,C,male,151,1,1
1121,,n,male,0,0,1
1229,,n,male,0,0,1
1266,,n,male,0,0,1
56,B96 B98,B,male,32,5,1
400,,n,female,0,0,0
572,,n,female,0,0,0
962,,n,male,0,0,1
473,,n,male,0,0,1
468,,n,female,0,0,0
1044,,n,female,0,0,0
1058,,n,female,0,0,0
1237,,n,male,0,0,1
1018,,n,male,0,0,1
776,,n,male,0,0,1
847,,n,male,0,0,1
504,,n,male,0,0,1
534,,n,female,0,0,0
720,,n,male,0,0,1
903,,n,female,0,0,0
13,,n,female,0,0,0
648,,n,male,0,0,1
679,,n,female,0,0,0
550,,n,female,0,0,0
838,,n,male,0,0,1
1163,,n,male,0,0,1
781,,n,male,0,0,1
300,B19,B,male,160,5,1
1062,,n,male,0,0,1
1055,,n,male,0,0,1
945,,n,male,0,0,1
570,,n,female,0,0,0
163,,n,female,0,0,0
636,,n,female,0,0,0
666,,n,female,0,0,0
336,,n,male,0,0,1
59,,n,female,0,0,0
1175,,n,female,0,0,0
1219,,n,male,0,0,1
53,,n,male,0,0,1
490,E77,E,female,174,2,0
326,,n,male,0,0,1
449,,n,female,0,0,0
855,,n,male,0,0,1
1025,E121,E,male,182,2,1
1016,,n,male,0,0,1
1107,,n,male,0,0,1
823,,n,female,0,0,0
939,,n,female,0,0,0
826,,n,male,0,0,1
437,,n,female,0,0,0
670,,n,male,0,0,1
563,,n,male,0,0,1
1097,,n,male,0,0,1
1224,,n,male,0,0,1
786,,n,male,0,0,1
873,F G63,F,male,178,7,1
1282,,n,male,0,0,1
819,,n,female,0,0,0
219,,n,male,0,0,1
1196,,n,male,0,0,1
1006,,n,female,0,0,0
820,,n,male,0,0,1
586,,n,female,0,0,0
941,F E57,F,male,179,7,1
348,,n,male,0,0,1
1235,,n,male,0,0,1
463,,n,male,0,0,1
1220,,n,male,0,0,1
653,,n,female,0,0,0
573,E101,E,female,173,2,0
647,,n,female,0,0,0
595,,n,male,0,0,1
890,,n,male,0,0,1
470,,n,male,0,0,1
800,,n,female,0,0,0
281,C116,C,female,151,1,0
932,,n,female,0,0,0
732,,n,male,0,0,1
715,,n,male,0,0,1
832,,n,female,0,0,0
951,,n,male,0,0,1
1037,,n,female,0,0,0
455,,n,male,0,0,1
584,E101,E,female,173,2,0
147,,n,male,0,0,1
160,B18,B,female,92,5,0
750,,n,male,0,0,1
859,,n,female,0,0,0
952,,n,male,0,0,1
1300,,n,female,0,0,0
628,,n,female,0,0,0
606,,n,male,0,0,1
164,,n,male,0,0,1
106,C95,C,male,60,1,1
1040,,n,female,0,0,0
617,,n,male,0,0,1
1091,,n,female,0,0,0
329,,n,female,0,0,0
480,,n,male,0,0,1
498,,n,male,0,0,1
1214,,n,male,0,0,1
93,A34,A,male,51,4,1
809,,n,male,0,0,1
433,,n,male,0,0,1
43,D15,D,female,11,3,0
860,,n,female,0,0,0
1144,,n,male,0,0,1
967,,n,female,0,0,0
710,,n,female,0,0,0
1276,,n,female,0,0,0
1245,,n,male,0,0,1
765,,n,female,0,0,0
885,,n,male,0,0,1
556,,n,male,0,0,1
1242,,n,male,0,0,1
69,E33,E,female,24,2,0
514,F2,F,male,175,7,1
509,,n,male,0,0,1
340,F4,F,female,170,7,0
221,B30,B,male,124,5,1
146,D33,D,female,83,3,0
1053,,n,male,0,0,1
803,,n,male,0,0,1
508,,n,male,0,0,1
1169,,n,male,0,0,1
176,D21,D,female,101,3,0
804,,n,male,0,0,1
168,B28,B,female,95,5,0
1131,E10,E,male,184,2,1
1199,,n,male,0,0,1
129,C130,C,female,72,1,0
189,D6,D,male,107,3,1
136,C51,C,male,76,1,1
894,,n,male,0,0,1
197,D30,D,male,113,3,1
290,E67,E,male,155,2,1
36,E33,E,female,24,2,0
767,,n,male,0,0,1
232,C110,C,male,131,1,1
645,,n,male,0,0,1
33,C103,C,female,22,1,0
1263,,n,male,0,0,1
1068,,n,male,0,0,1
865,,n,female,0,0,0
341,F4,F,female,170,7,0
1085,,n,male,0,0,1
199,C90,C,female,114,1,0
429,,n,male,0,0,1
1289,,n,male,0,0,1
876,,n,male,0,0,1
730,,n,male,0,0,1
919,,n,male,0,0,1
297,,n,female,0,0,0
73,,n,female,0,0,0
807,,n,female,0,0,0
547,,n,male,0,0,1
949,,n,male,0,0,1
1186,,n,male,0,0,1
821,,n,male,0,0,1
663,,n,male,0,0,1
1176,,n,male,0,0,1
623,,n,female,0,0,0
212,C118,C,male,118,1,1
1035,,n,male,0,0,1
1184,,n,male,0,0,1
1211,,n,female,0,0,0
727,,n,male,0,0,1
701,,n,male,0,0,1
1022,,n,male,0,0,1
1250,,n,male,0,0,1
234,,n,male,0,0,1
1007,,n,female,0,0,0
978,,n,male,0,0,1
67,B77,B,female,37,5,0
24,C97,C,female,15,1,0
216,D47,D,female,121,3,0
812,,n,male,0,0,1
735,,n,female,0,0,0
111,C23 C25 C27,C,female,63,1,0
166,,n,male,0,0,1
1248,,n,male,0,0,1
207,C78,C,female,116,1,0
274,E34,E,male,147,2,1
41,B4,B,female,27,5,0
591,,n,female,0,0,0
525,,n,male,0,0,1
287,D50,D,male,153,3,1
469,E101,E,female,173,2,0
121,,n,female,0,0,0
1304,,n,female,0,0,0
928,,n,female,0,0,0
673,,n,male,0,0,1
1141,,n,male,0,0,1
886,,n,female,0,0,0
956,,n,female,0,0,0
25,,n,male,0,0,1
1134,,n,male,0,0,1
149,C83,C,female,84,1,0
925,,n,male,0,0,1
696,,n,female,0,0,0
843,,n,male,0,0,1
889,,n,male,0,0,1
598,,n,female,0,0,0
1020,,n,male,0,0,1
139,C125,C,female,79,1,0
749,,n,female,0,0,0
1004,,n,female,0,0,0
323,,n,male,0,0,1
180,,n,female,0,0,0
450,,n,male,0,0,1
607,,n,female,0,0,0
1043,,n,female,0,0,0
296,C68,C,female,157,1,0
94,A34,A,male,51,4,1
1187,G6,G,female,185,8,0
637,,n,male,0,0,1
286,C55 C57,C,female,152,1,0
488,,n,male,0,0,1
444,,n,male,0,0,1
275,E34,E,female,147,2,0
806,,n,female,0,0,0
1152,,n,male,0,0,1
32,C7,C,female,21,1,0
1104,,n,male,0,0,1
307,D26,D,male,163,3,1
770,,n,male,0,0,1
11,C62 C64,C,female,7,1,0
872,,n,female,0,0,0
1067,,n,female,0,0,0
86,E17,E,male,48,2,1
778,,n,female,0,0,0
1060,,n,female,0,0,0
1297,,n,male,0,0,1
1082,,n,male,0,0,1
1065,,n,male,0,0,1
782,,n,male,0,0,1
562,,n,female,0,0,0
209,C78,C,male,116,1,1
1172,,n,female,0,0,0
739,,n,male,0,0,1
594,,n,male,0,0,1
123,B41,B,male,68,5,1
734,,n,male,0,0,1
931,,n,male,0,0,1
98,C86,C,female,52,1,0
377,,n,female,0,0,0
130,,n,female,0,0,0
23,,n,female,0,0,0
1228,,n,male,0,0,1
555,,n,male,0,0,1
370,,n,female,0,0,0
383,,n,male,0,0,1
201,E46,E,male,90,2,1
917,,n,male,0,0,1
368,,n,male,0,0,1
973,,n,male,0,0,1
387,,n,female,0,0,0
816,,n,male,0,0,1
256,,n,male,0,0,1
1119,,n,male,0,0,1
169,C49,C,female,96,1,0
560,,n,female,0,0,0
373,,n,female,0,0,0
909,,n,male,0,0,1
719,,n,male,0,0,1
791,,n,male,0,0,1
954,,n,male,0,0,1
1167,,n,male,0,0,1
1204,,n,male,0,0,1
868,,n,male,0,0,1
972,,n,male,0,0,1
1155,,n,male,0,0,1
1274,,n,male,0,0,1
1071,,n,female,0,0,0
964,,n,male,0,0,1
774,,n,male,0,0,1
324,,n,female,0,0,0
203,,n,male,0,0,1
84,C85,C,male,47,1,1
633,,n,male,0,0,1
908,,n,female,0,0,0
611,,n,male,0,0,1
398,,n,male,0,0,1
91,B20,B,male,50,5,1
1106,,n,female,0,0,0
430,,n,female,0,0,0
779,,n,female,0,0,0
1143,,n,male,0,0,1
291,E67,E,female,155,2,0
57,B96 B98,B,female,32,5,0
257,C28,C,female,139,1,0
888,,n,male,0,0,1
1272,,n,male,0,0,1
1066,,n,male,0,0,1
388,,n,female,0,0,0
335,,n,male,0,0,1
273,E34,E,male,147,2,1
756,,n,male,0,0,1
1077,,n,female,0,0,0
1262,,n,male,0,0,1
128,E63,E,male,71,2,1
802,,n,male,0,0,1
28,C99,C,female,17,1,0
1207,,n,male,0,0,1
882,,n,male,0,0,1
510,,n,male,0,0,1
675,,n,male,0,0,1
151,D49,D,male,86,3,1
244,A10,A,male,137,4,1
714,,n,male,0,0,1
543,,n,male,0,0,1
544,,n,male,0,0,1
639,,n,male,0,0,1
697,,n,female,0,0,0
423,,n,male,0,0,1
910,,n,male,0,0,1
1171,,n,male,0,0,1
659,,n,female,0,0,0
797,,n,male,0,0,1
1286,,n,female,0,0,0
1201,,n,male,0,0,1
99,A16,A,female,53,4,0
850,,n,male,0,0,1
448,,n,male,0,0,1
755,,n,male,0,0,1
976,,n,male,0,0,1
115,C23 C25 C27,C,male,63,1,1
777,,n,male,0,0,1
72,C89,C,female,39,1,0
845,,n,female,0,0,0
537,,n,male,0,0,1
849,,n,male,0,0,1
174,B37,B,male,100,5,1
87,,n,male,0,0,1
551,,n,female,0,0,0
705,,n,male,0,0,1
314,C80,C,female,165,1,0
600,,n,male,0,0,1
1094,,n,female,0,0,0
599,,n,female,0,0,0
277,B78,B,female,148,5,0
1033,,n,male,0,0,1
763,,n,female,0,0,0
835,,n,male,0,0,1
1216,,n,female,0,0,0
559,,n,female,0,0,0
684,,n,female,0,0,0
